States/UTs,Hit and Run - Total Accdents,Hit and Run - Persons Killed,Hit and Run - Persons Injured - Greviously Injured,Hit and Run - Persons Injured - Minor Injury,With Parked Vehicle - Total Accdents,With Parked Vehicle - Persons Killed,With Parked Vehicle - Persons Injured - Greviously Injured,With Parked Vehicle - Persons Injured - Minor Injury,Hit from Back - Total Accdents,Hit from Back - Persons Killed,Hit from Back - Persons Injured - Greviously Injured,Hit from Back - Persons Injured - Minor Injury,Hit from side - Total Accdents,Hit from side - Persons Killed,Hit from side - Persons Injured - Greviously Injured,Hit from side - Persons Injured - Minor Injury,Run Off Road - Total Accdents,Run Off Road - Persons Killed,Run Off Road - Persons Injured - Greviously Injured,Run Off Road - Persons Injured - Minor Injury,Fixed Object - Total Accdents,Fixed Object - Persons Killed,Fixed Object - Persons Injured - Greviously Injured,Fixed Object - Persons Injured - Minor Injury,Vehicle Overturn - Total Accdents,Vehicle Overturn - Persons Killed,Vehicle Overturn - Persons Injured - Greviously Injured,Vehicle Overturn - Persons Injured - Minor Injury,Head on Collision - Total Accdents,Head on Collision - Persons Killed,Head on Collision - Persons Injured - Greviously Injured,Head on Collision - Persons Injured - Minor Injury,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury
Andhra Pradesh,1196.0,515.0,253.0,640.0,727.0,303.0,147.0,584.0,4623.0,1320.0,1233.0,3578.0,2482.0,718.0,748.0,1665.0,691.0,260.0,327.0,336.0,920.0,383.0,232.0,688.0,1374.0,557.0,524.0,972.0,4927.0,1879.0,984.0,4352.0,2569.0,1104.0,340.0,2072.0
Arunachal Pradesh,7.0,3.0,5.0,2.0,17.0,10.0,14.0,9.0,22.0,7.0,12.0,8.0,19.0,6.0,9.0,7.0,14.0,5.0,11.0,9.0,15.0,9.0,14.0,10.0,14.0,8.0,9.0,6.0,17.0,18.0,30.0,19.0,9.0,7.0,5.0,6.0
Assam,1235.0,484.0,875.0,123.0,400.0,117.0,300.0,36.0,1475.0,622.0,1026.0,100.0,833.0,338.0,545.0,73.0,291.0,91.0,227.0,18.0,285.0,113.0,209.0,17.0,612.0,214.0,422.0,46.0,770.0,347.0,554.0,67.0,694.0,303.0,544.0,87.0
Bihar,774.0,651.0,506.0,6.0,218.0,196.0,221.0,2.0,715.0,531.0,654.0,30.0,874.0,653.0,759.0,32.0,364.0,296.0,267.0,9.0,359.0,114.0,143.0,3.0,781.0,579.0,593.0,26.0,3523.0,2867.0,2890.0,105.0,1031.0,812.0,754.0,16.0
Chhattisgarh,1539.0,814.0,193.0,972.0,277.0,88.0,40.0,200.0,2212.0,646.0,278.0,1761.0,1483.0,389.0,191.0,1241.0,1258.0,489.0,221.0,973.0,626.0,313.0,38.0,381.0,365.0,210.0,50.0,370.0,1929.0,717.0,391.0,1448.0,1967.0,940.0,269.0,1488.0
Goa,36.0,7.0,7.0,8.0,20.0,4.0,0.0,1.0,583.0,54.0,49.0,169.0,619.0,49.0,56.0,261.0,195.0,19.0,4.0,35.0,100.0,18.0,11.0,18.0,22.0,1.0,0.0,2.0,639.0,55.0,74.0,146.0,161.0,16.0,1.0,38.0
Gujarat,1552.0,995.0,656.0,325.0,575.0,276.0,280.0,215.0,4336.0,1672.0,2444.0,1661.0,2798.0,1100.0,1529.0,1086.0,936.0,403.0,498.0,300.0,440.0,242.0,239.0,154.0,827.0,504.0,474.0,300.0,1628.0,796.0,931.0,635.0,306.0,182.0,140.0,135.0
Haryana,2386.0,1074.0,324.0,1370.0,273.0,113.0,34.0,181.0,720.0,314.0,132.0,427.0,596.0,305.0,119.0,346.0,222.0,101.0,49.0,133.0,210.0,80.0,44.0,92.0,447.0,244.0,89.0,175.0,958.0,411.0,174.0,556.0,3619.0,1865.0,1272.0,2142.0
Himachal Pradesh,411.0,97.0,175.0,233.0,58.0,7.0,19.0,34.0,106.0,38.0,54.0,67.0,183.0,33.0,99.0,162.0,537.0,446.0,196.0,732.0,89.0,41.0,37.0,80.0,99.0,41.0,33.0,151.0,437.0,89.0,274.0,526.0,319.0,101.0,164.0,187.0
Jammu and Kashmir,337.0,42.0,524.0,250.0,19.0,0.0,40.0,13.0,152.0,14.0,270.0,104.0,129.0,24.0,105.0,125.0,429.0,125.0,702.0,413.0,13.0,4.0,25.0,30.0,170.0,60.0,203.0,93.0,185.0,24.0,190.0,170.0,3426.0,435.0,1318.0,1319.0
Jharkhand,800.0,593.0,308.0,76.0,161.0,99.0,101.0,41.0,595.0,408.0,258.0,94.0,498.0,315.0,231.0,75.0,349.0,241.0,205.0,95.0,193.0,108.0,125.0,29.0,310.0,211.0,184.0,59.0,600.0,428.0,338.0,78.0,899.0,641.0,777.0,221.0
Karnataka,2193.0,822.0,1031.0,755.0,934.0,268.0,628.0,690.0,9024.0,2368.0,4956.0,5336.0,5704.0,1447.0,2792.0,3726.0,1554.0,465.0,858.0,1279.0,1284.0,379.0,579.0,880.0,981.0,233.0,550.0,632.0,8842.0,2546.0,4778.0,6020.0,3662.0,1232.0,1770.0,2232.0
Kerala,1118.0,92.0,909.0,340.0,213.0,46.0,125.0,60.0,3661.0,231.0,2918.0,1232.0,4976.0,290.0,4165.0,1602.0,207.0,52.0,151.0,64.0,355.0,100.0,170.0,194.0,395.0,78.0,330.0,156.0,4404.0,482.0,3783.0,1575.0,12548.0,1608.0,9673.0,3063.0
Madhya Pradesh,11550.0,3232.0,1338.0,11397.0,1225.0,256.0,167.0,952.0,8171.0,1796.0,1406.0,6842.0,4667.0,841.0,456.0,4011.0,1621.0,453.0,184.0,1485.0,1215.0,327.0,170.0,1056.0,2248.0,738.0,370.0,2466.0,10198.0,2464.0,1506.0,8142.0,4371.0,1034.0,429.0,4079.0
